Tier,Target Name,OR Slug,Context Window,Input Cost ($/1M),Output Cost ($/1M)
S,Claude Opus 4.6,anthropic/claude-opus-4.6,1.0M,$5.00,$25.00
S,GPT-5.4,openai/gpt-5.4,1.1M,$2.50,$15.00
S,Kimi K2.5,moonshotai/kimi-k2.5,262K,$0.40,$1.90
S,MiniMax M2.5,minimax/minimax-m2.5,205K,$0.15,$1.15
A,Claude Sonnet 4.6,anthropic/claude-sonnet-4.6,1.0M,$3.00,$15.00
A,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,1.0M,$2.00,$12.00
A,Qwen 3.5,qwen/qwen3.5-9b,262K,$0.04,$0.15
A,Step-3.5-Flash,stepfun/step-3.5-flash,262K,$0.09,$0.30
A,GLM-5,z-ai/glm-5,203K,$0.60,$2.08
A,MiMo-V2-Flash,xiaomi/mimo-v2-flash,262K,$0.10,$0.30
A,Mistral Large,mistralai/mistral-large,128K,$2.00,$6.00
B,DeepSeek V3.2,deepseek/deepseek-v3.2,131K,$0.23,$0.34
B,DeepSeek R1,deepseek/deepseek-r1,164K,$0.70,$2.50
C,GPT-oss 120B,openai/gpt-oss-120b,131K,$0.04,$0.18
C,Nemotron Ultra 253B,Not Found,N/A,N/A,N/A
D,DeepSeek V3,deepseek/deepseek-v3.2,131K,$0.23,$0.34
D,Llama 4 Maverick,meta-llama/llama-4-maverick,1.0M,$0.15,$0.60
D,Grok 3,x-ai/grok-4.3,1.0M,$1.25,$2.50
